[Parsed_ebur128_0 @ 0000019c8e92b940] t: 7.599977   TARGET:-23 LUFS    M: -21.8 S: -20.3     I: -20.3 LUFS       LRA:   0.0 LU  FTPK: -18.1 dBFS  TPK:  -8.1 dBFS
[Parsed_ebur128_0 @ 0000019c8e92b940] t: 7.699977   TARGET:-23 LUFS    M: -21.8 S: -20.3     I: -20.3 LUFS       LRA:   0.0 LU  FTPK: -18.0 dBFS  TPK:  -8.1 dBFS
[Parsed_ebur128_0 @ 0000019c8e92b940] t: 7.799977   TARGET:-23 LUFS    M: -21.8 S: -20.3     I: -20.3 LUFS       LRA:   0.0 LU  FTPK: -18.1 dBFS  TPK:  -8.1 dBFS
[Parsed_ebur128_0 @ 0000019c8e92b940] t: 7.899977   TARGET:-23 LUFS    M: -21.8 S: -20.3     I: -20.3 LUFS       LRA:   0.0 LU  FTPK: -18.0 dBFS  TPK:  -8.1 dBFS
[Parsed_ebur128_0 @ 0000019c8e92b940] t: 7.999977   TARGET:-23 LUFS    M: -21.7 S: -20.3     I: -20.4 LUFS       LRA:   0.0 LU  FTPK: -15.9 dBFS  TPK:  -8.1 dBFS
[Parsed_ebur128_0 @ 0000019c8e92b940] t: 8.099977   TARGET:-23 LUFS    M: -18.7 S: -20.3     I: -20.3 LUFS       LRA:   0.0 LU  FTPK:  -8.0 dBFS  TPK:  -8.0 dBFS
[Parsed_ebur128_0 @ 0000019c8e92b940] t: 8.199977   TARGET:-23 LUFS    M: -18.7 S: -20.3     I: -20.3 LUFS       LRA:   0.0 LU  FTPK: -18.1 dBFS  TPK:  -8.0 dBFS
[Parsed_ebur128_0 @ 0000019c8e92b940] t: 8.299977   TARGET:-23 LUFS    M: -18.7 S: -20.3     I: -20.3 LUFS       LRA:   0.0 LU  FTPK: -18.1 dBFS  TPK:  -8.0 dBFS
[Parsed_ebur128_0 @ 0000019c8e92b940] t: 8.399977   TARGET:-23 LUFS    M: -18.7 S: -20.3     I: -20.3 LUFS       LRA:   0.0 LU  FTPK: -18.0 dBFS  TPK:  -8.0 dBFS
[Parsed_ebur128_0 @ 0000019c8e92b940] t: 8.499977   TARGET:-23 LUFS    M: -21.8 S: -20.3     I: -20.3 LUFS       LRA:   0.0 LU  FTPK: -18.1 dBFS  TPK:  -8.0 dBFS
[Parsed_ebur128_0 @ 0000019c8e92b940] t: 8.599977   TARGET:-23 LUFS    M: -21.8 S: -20.3     I: -20.3 LUFS       LRA:   0.0 LU  FTPK: -18.0 dBFS  TPK:  -8.0 dBFS
[Parsed_ebur128_0 @ 0000019c8e92b940] t: 8.699977   TARGET:-23 LUFS    M: -21.8 S: -20.3     I: -20.3 LUFS       LRA:   0.0 LU  FTPK: -18.0 dBFS  TPK:  -8.0 dBFS
[Parsed_ebur128_0 @ 0000019c8e92b940] t: 8.799977   TARGET:-23 LUFS    M: -21.8 S: -20.3     I: -20.3 LUFS       LRA:   0.0 LU  FTPK: -18.1 dBFS  TPK:  -8.0 dBFS
[Parsed_ebur128_0 @ 0000019c8e92b940] t: 8.899977   TARGET:-23 LUFS    M: -21.8 S: -20.3     I: -20.3 LUFS       LRA:   0.0 LU  FTPK: -18.1 dBFS  TPK:  -8.0 dBFS
[Parsed_ebur128_0 @ 0000019c8e92b940] t: 8.999977   TARGET:-23 LUFS    M: -21.8 S: -20.3     I: -20.4 LUFS       LRA:   0.0 LU  FTPK: -16.3 dBFS  TPK:  -8.0 dBFS
[Parsed_ebur128_0 @ 0000019c8e92b940] t: 9.099977   TARGET:-23 LUFS    M: -18.7 S: -20.3     I: -20.3 LUFS       LRA:   0.0 LU  FTPK:  -8.5 dBFS  TPK:  -8.0 dBFS
[Parsed_ebur128_0 @ 0000019c8e92b940] t: 9.199977   TARGET:-23 LUFS    M: -18.7 S: -20.3     I: -20.3 LUFS       LRA:   0.0 LU  FTPK: -18.0 dBFS  TPK:  -8.0 dBFS
[Parsed_ebur128_0 @ 0000019c8e92b940] t: 9.299977   TARGET:-23 LUFS    M: -18.7 S: -20.3     I: -20.3 LUFS       LRA:   0.0 LU  FTPK: -18.0 dBFS  TPK:  -8.0 dBFS
[Parsed_ebur128_0 @ 0000019c8e92b940] t: 9.399977   TARGET:-23 LUFS    M: -18.7 S: -20.3     I: -20.3 LUFS       LRA:   0.0 LU  FTPK: -18.1 dBFS  TPK:  -8.0 dBFS
[Parsed_ebur128_0 @ 0000019c8e92b940] t: 9.499977   TARGET:-23 LUFS    M: -21.8 S: -20.3     I: -20.3 LUFS       LRA:   0.0 LU  FTPK: -18.0 dBFS  TPK:  -8.0 dBFS
[Parsed_ebur128_0 @ 0000019c8e92b940] t: 9.599977   TARGET:-23 LUFS    M: -21.8 S: -20.3     I: -20.3 LUFS       LRA:   0.0 LU  FTPK: -18.1 dBFS  TPK:  -8.0 dBFS
[Parsed_ebur128_0 @ 0000019c8e92b940] t: 9.699977   TARGET:-23 LUFS    M: -21.8 S: -20.3     I: -20.3 LUFS       LRA:   0.0 LU  FTPK: -18.0 dBFS  TPK:  -8.0 dBFS
[Parsed_ebur128_0 @ 0000019c8e92b940] t: 9.799977   TARGET:-23 LUFS    M: -21.8 S: -20.3     I: -20.3 LUFS       LRA:   0.0 LU  FTPK: -18.1 dBFS  TPK:  -8.0 dBFS
[Parsed_ebur128_0 @ 0000019c8e92b940] t: 9.899977   TARGET:-23 LUFS    M: -21.8 S: -20.3     I: -20.3 LUFS       LRA:   0.0 LU  FTPK: -18.1 dBFS  TPK:  -8.0 dBFS
[Parsed_ebur128_0 @ 0000019c8e92b940] t: 9.999977   TARGET:-23 LUFS    M: -21.8 S: -20.3     I: -20.3 LUFS       LRA:   0.0 LU  FTPK: -16.3 dBFS  TPK:  -8.0 dBFS
[Parsed_ebur128_0 @ 0000019c8e92b940] t: 10.099977  TARGET:-23 LUFS    M: -18.7 S: -20.3     I: -20.3 LUFS       LRA:   0.0 LU  FTPK:  -8.4 dBFS  TPK:  -8.0 dBFS
[Parsed_ebur128_0 @ 0000019c8e92b940] t: 10.199977  TARGET:-23 LUFS    M: -18.7 S: -20.3     I: -20.3 LUFS       LRA:   0.0 LU  FTPK: -18.0 dBFS  TPK:  -8.0 dBFS
[Parsed_ebur128_0 @ 0000019c8e92b940] t: 10.299977  TARGET:-23 LUFS    M: -18.7 S: -20.3     I: -20.3 LUFS       LRA:   0.0 LU  FTPK: -18.0 dBFS  TPK:  -8.0 dBFS
[Parsed_ebur128_0 @ 0000019c8e92b940] t: 10.399977  TARGET:-23 LUFS    M: -18.7 S: -20.3     I: -20.3 LUFS       LRA:   0.0 LU  FTPK: -18.1 dBFS  TPK:  -8.0 dBFS
[Parsed_ebur128_0 @ 0000019c8e92b940] t: 10.499977  TARGET:-23 LUFS    M: -21.8 S: -20.3     I: -20.3 LUFS       LRA:   0.0 LU  FTPK: -18.0 dBFS  TPK:  -8.0 dBFS
[Parsed_ebur128_0 @ 0000019c8e92b940] t: 10.599977  TARGET:-23 LUFS    M: -21.8 S: -20.3     I: -20.3 LUFS       LRA:   0.0 LU  FTPK: -18.1 dBFS  TPK:  -8.0 dBFS
[Parsed_ebur128_0 @ 0000019c8e92b940] t: 10.699977  TARGET:-23 LUFS    M: -21.8 S: -20.3     I: -20.3 LUFS       LRA:   0.0 LU  FTPK: -18.0 dBFS  TPK:  -8.0 dBFS
[Parsed_ebur128_0 @ 0000019c8e92b940] t: 10.799977  TARGET:-23 LUFS    M: -21.8 S: -20.3     I: -20.3 LUFS       LRA:   0.0 LU  FTPK: -18.0 dBFS  TPK:  -8.0 dBFS
[Parsed_ebur128_0 @ 0000019c8e92b940] t: 10.899977  TARGET:-23 LUFS    M: -21.8 S: -20.3     I: -20.3 LUFS       LRA:   0.0 LU  FTPK: -18.1 dBFS  TPK:  -8.0 dBFS
[Parsed_ebur128_0 @ 0000019c8e92b940] t: 10.999977  TARGET:-23 LUFS    M: -21.8 S: -20.3     I: -20.3 LUFS       LRA:   0.0 LU  FTPK: -17.9 dBFS  TPK:  -8.0 dBFS
[Parsed_ebur128_0 @ 0000019c8e92b940] t: 11.099977  TARGET:-23 LUFS    M: -18.7 S: -20.3     I: -20.3 LUFS       LRA:   0.0 LU  FTPK:  -8.4 dBFS  TPK:  -8.0 dBFS
[Parsed_ebur128_0 @ 0000019c8e92b940] t: 11.199977  TARGET:-23 LUFS    M: -18.7 S: -20.3     I: -20.3 LUFS       LRA:   0.0 LU  FTPK: -18.1 dBFS  TPK:  -8.0 dBFS
[Parsed_ebur128_0 @ 0000019c8e92b940] t: 11.299977  TARGET:-23 LUFS    M: -18.7 S: -20.3     I: -20.3 LUFS       LRA:   0.0 LU  FTPK: -18.1 dBFS  TPK:  -8.0 dBFS
[Parsed_ebur128_0 @ 0000019c8e92b940] t: 11.399977  TARGET:-23 LUFS    M: -18.7 S: -20.3     I: -20.3 LUFS       LRA:   0.0 LU  FTPK: -18.1 dBFS  TPK:  -8.0 dBFS
